name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
Guernsey,,,,,,Q3311985,Guernsey
Saint Barthelemy,,,,,,Q25362,Saint Barthélemy
Saint Martin,,,,,,Q126125,Saint Martin
Slovenia,,,,,,Q215,Slovenia
Solomon Islands,,,,,,Q685,Solomon Islands
Somalia,,,,,,Q1045,Somalia
Somaliland,,,,,,Q34754,Somaliland
South Africa,,,,,,Q258,South Africa
South Georgia and the South Sandwich Islands,,,,,,Q35086,South Georgia and the South Sandwich Islands
South Korea,,,,,,Q884,South Korea
South Ossetia,,,,,,Q23427,South Ossetia
South Sudan,,,,,,Q958,South Sudan
Spain,,,,,,Q29,Spain
Sri Lanka,,,,,,Q854,Sri Lanka
State of Palestine,,,,,,Q219060,State of Palestine
Sudan,,,,,,Q1049,Sudan
Suriname,,,,,,Q730,Suriname
Svalbard,,,,,,Q25231,Svalbard
Sweden,,,,,,Q34,Sweden
Switzerland,,,,,,Q39,Switzerland
Syria,,,,,,Q858,Syria
São Tomé and Príncipe,,,,,,Q1039,São Tomé and Príncipe
Taiwan,,,,,,Q865,Taiwan
Tajikistan,,,,,,Q863,Tajikistan
Tanzania,,,,,,Q924,Tanzania
Thailand,,,,,,Q869,Thailand
The Bahamas,,,,,,Q778,The Bahamas
The Gambia,,,,,,Q1005,The Gambia
Togo,,,,,,Q945,Togo
Tonga,,,,,,Q678,Tonga
Transnistria,,,,,,Q907112,Transnistria
Trinidad and Tobago,,,,,,Q754,Trinidad and Tobago
Tunisia,,,,,,Q948,Tunisia
Turkey,,,,,,Q43,Turkey
Turkmenistan,,,,,,Q874,Turkmenistan
Turks and Caicos Islands,,,,,,Q18221,Turks and Caicos Islands
Tuvalu,,,,,,Q672,Tuvalu
Uganda,,,,,,Q1036,Uganda
Ukraine,,,,,,Q212,Ukraine
United Arab Emirates,,,,,,Q878,United Arab Emirates
United Kingdom,,,,,,Q145,United Kingdom
United States,,,,,,Q30,United States
United States Virgin Islands,,,,,,Q11703,United States Virgin Islands
Unknown,,,,,,Q400506,Unknown
Uruguay,,,,,,Q77,Uruguay
Uzbekistan,,,,,,Q265,Uzbekistan
Vanuatu,,,,,,Q686,Vanuatu
Vatican City,,,,,,Q237,Vatican City
Venezuela,,,,,,Q717,Venezuela
Vietnam,,,,,,Q881,Vietnam
Wales,,,,,WAL,Q25,Wales
Yemen,,,,,,Q805,Yemen
Zambia,,,,,,Q953,Zambia
Zimbabwe,,,,,,Q954,Zimbabwe
Åland,,,,,,Q5689,Åland
アイスランド,,,,,,Q189,アイスランド
アイルランド,,,,,,Q27,アイルランド
アクロティリおよびデケリア,,,,,,Q37362,アクロティリおよびデケリア
アゼルバイジャン,,,,,,Q227,アゼルバイジャン
アフガニスタン,004,AF,AFG,AFG,AFG,Q889,アフガニスタン
アブハジア,,,,,,Q23334,アブハジア
アルジェリア,,,,,,Q262,アルジェリア
アルゼンチン,,,,,,Q414,アルゼンチン
アルツァフ共和国,,,,,,Q244165,アルツァフ共和国
アルバ,,,,,,Q21203,アルバ
アルバニア,,,,,,Q222,アルバニア
アルメニア,,,,,,Q399,アルメニア
アンギラ,,,,,,Q25228,アンギラ
アンゴラ,,,,,,Q916,アンゴラ
